objectid,Pulau,Pejabat,id_prov,Provinsi,id_kab,Kabupaten,Jenis Izin,Badan Usaha,Nama Perusahaan,Kode WIUP,Nomor SK,Berlaku,Berakhir,Tahapan,Luas (Ha),Komoditas,kode_golongan,kode_jnskom,Status CNC,Remark,kode_wil,Lokasi Tambang;;;;
"214,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,02,BELITUNG,IUP,PT,BABEL INTI PERKASA,3119022112014049,188.4/420/ESDM/DPMPTSP/2019,2019-01-06,2028-01-06,OPERASI PRODUKSI,92.1,TIMAH,2,11,CNC-1, , ,""DESA BANTAN, KEC. MEMBALANG, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG""";;;;
232,SUMATERA,GUBERNUR,13,SUMATERA BARAT,73,KOTA SAWAHLUNTO,IUP,CV,TAHITI COAL,3113733032014001,544-163-2018,2018-07-30,2028-12-28,OPERASI PRODUKSI,53.8,BATUBARA,3,03,CNC-1, ,05.77.PE,DESA SIJANTANG KOTO KEC. TALAWI KAB SAWAHLUNTO;;;;
241,SUMATERA,MENTERI,15,JAMBI,06,KAB. TANJUNG JABUNG BARAT,IUP,PT,SEMBILAN SETIA MITRA,3115063032014020,81202038509870004                                                                                   ,2025-04-11,2032-06-04,OPERASI PRODUKSI,198.0,BATUBARA,3,03,CNC-1,,,DESA LUBUK BERNAI RT000 RW000 KELURAHAN LUBUK BERNAI KECAMATAN BATANG ASAM;;;;
242,SUMATERA,GUBERNUR,15,JAMBI,04,KAB. BATANG HARI,IUP,PT,BUMI MAKMUR SEJATI,3115043032014020,373/KEP.KA.BPMD-PPT-4/IUP/XII/2016                                                                  ,2016-12-08,2036-12-07,OPERASI PRODUKSI,1380.0,BATUBARA,3,03,CNC-2,,,DESA PADANG KELAPO DAN HAJRAN KECAMATAN MARO SEBO ULU DAN BATIN XXIV KABUPATEN BATANG HARI;;;;
"252,KALIMANTAN,MENTERI,64,KALIMANTAN TIMUR,""02, 08"",""KUTAI KARTANEGARA, KUTAI TIMUR"",PKP2B,PT,INDOMINCO MANDIRI,1300003032014176,503.K/30/DJB/2016,1998-03-31,2028-10-03,OPERASI PRODUKSI,24121.0,BATUBARA,3,03,-,GEN I,96PP0395,KUTAI TIMUR";;;;
262,KALIMANTAN,GUBERNUR,61,KALIMANTAN BARAT,04,KETAPANG,IUP,PT,CITA MINERAL INVESTINDO TBK,3361042172014060,503/108/MINERBA/DPMPTSP.C/2017,2017-08-02,2029-05-23,OPERASI PRODUKSI,7833.0,BAUKSIT,2,17,CNC-4, , ,MARAU AIR UPAS;;;;
264,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,01,KAB. BANGKA,IUP,PT,TIMAH TBK,3119012112014161,81201098819560122                                                                                   ,2025-05-22,2035-07-20,OPERASI PRODUKSI,837.6,TIMAH,2,11,CNC-14,,,SUNGAI LIAT;;;;
265,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,02,KAB. BELITUNG,IUP,PT,TIMAH TBK,2119002112014176,81201098819560156                                                                                   ,2024-09-30,2035-07-20,OPERASI PRODUKSI,5954.0,TIMAH,2,11,CNC-1,,,TANJUNG PANDAN;;;;
"266,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,""71,04"",""KOTA PANGKAL PINANG,KAB. BANGKA TENGAH"",IUP,PT,TIMAH TBK,2119002112014023,81201098819560102                                                                                   ,2025-04-22,2035-07-20,OPERASI PRODUKSI,4382.0,TIMAH,2,11,CNC-1,,,PANGKALAN BARU";;;;
"267,KALIMANTAN,MENTERI,64,KALIMANTAN TIMUR,02,KAB. KUTAI KARTANEGARA,IUP,PT,ALHASANIE,3364023032014310,91200063809190003                                                                                   ,2025-05-27,2036-12-21,OPERASI PRODUKSI,932.8,BATUBARA,3,03,CNC-1,,,""KEL. SANGA-SANGA MUARA, SANGA-SANGA DALAM DAN SARIJAYA KEC. SANGA-SANGA KAB. KUTAI KARTANEGARA""";;;;
"270,SUMATERA,MENTERI,16,SUMATERA SELATAN,""03, 04"",""MUARA ENIM, LAHAT"",IUP,PT,BUKIT ASAM TBK,2116003032014003,251/1/IUP/PMDN/2019,2019-07-01,2029-08-28,OPERASI PRODUKSI,2866.0,BATUBARA,3,03,CNC-2,IUP PUSAT,02.SS.2010,""DESA LINGGA, PRABUMENANG, GUNUNG KEMBANG, MUARA LAWAI, SIRAI PULAU DAN MERAPI, KEC. LAWANG KIDUL, MERAPI TIMUR DAN MERAPI BARAT, KAB. MUARA ENIM DAN LAHAT""";;;;
271,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,04,KAB. BANGKA TENGAH,IUP,PT,TIMAH TBK,2119002112014024,81201098819560178                                                                                   ,2025-06-13,2035-07-21,OPERASI PRODUKSI,689.4,TIMAH,2,11,CNC-1,,,PANGKALAN BARU;;;;
"272,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,""04,01"",""KAB. BANGKA TENGAH,KAB. BANGKA"",IUP,PT,TIMAH TBK,2119002112014177,81201098819560100                                                                                   ,2025-03-24,2035-07-20,OPERASI PRODUKSI,3479.0,TIMAH,2,11,CNC-1,,,MENDO BARAT";;;;
"273,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,""04,01"",""KAB. BANGKA TENGAH,KAB. BANGKA"",IUP,PT,TIMAH TBK,2119002112014025,81201098819560113                                                                                   ,2024-08-12,2035-07-20,OPERASI PRODUKSI,10530.0,TIMAH,2,11,CNC-1,,,MENDO BARAT";;;;
"282,KALIMANTAN,BUPATI,64,KALIMANTAN TIMUR,03,BERAU,IUP,PT,BERAU BARA ABADI,3364033032014007,589 TAHUN 2013,2013-10-09,2033-10-09,OPERASI PRODUKSI,2378.0,BATUBARA,3,03,CNC-1, ,540/SG.10/DPE.PU/IV/2009,""KAMPUNG GUNUNG SARI KEC SEGAH, KAB. BERAU""";;;;
